aubrey_identifier	display_title	dc_subject.KWD_facet																		
ark:/67531/metapth241198	Cutting Horse Competition: Image 1991_D-28_09	NCHA	derbies	horse shows																
ark:/67531/metapth241199	Cutting Horse Competition: Image 1991_D-28_10	NCHA	derbies	horse shows																
ark:/67531/metapth241200	Cutting Horse Competition: Image 1991_D-29_01	NCHA	derbies	horse shows																
ark:/67531/metapth241201	Cutting Horse Competition: Image 1991_D-29_02	NCHA	derbies	horse shows																
ark:/67531/metapth241202	Cutting Horse Competition: Image 1991_D-29_03	NCHA	derbies	horse shows																
ark:/67531/metapth241203	Cutting Horse Competition: Image 1991_D-29_04	NCHA	derbies	horse shows																
ark:/67531/metapth241204	Cutting Horse Competition: Image 1991_D-29_05	NCHA	derbies	horse shows																
ark:/67531/metapth241205	Cutting Horse Competition: Image 1991_D-29_06	NCHA	derbies	horse shows																
ark:/67531/metapth241206	Cutting Horse Competition: Image 1991_D-29_07	NCHA	derbies	horse shows																
ark:/67531/metapth241207	Cutting Horse Competition: Image 1991_D-29_08	NCHA	derbies	horse shows																
ark:/67531/metapth241208	Cutting Horse Competition: Image 1991_D-29_09	NCHA	derbies	horse shows																
ark:/67531/metapth241209	Cutting Horse Competition: Image 1991_D-29_10	NCHA	derbies	horse shows																
ark:/67531/metapth241210	Cutting Horse Competition: Image 1991_D-29_11	NCHA	derbies	horse shows																
ark:/67531/metapth241211	Cutting Horse Competition: Image 1991_D-29_12	NCHA	derbies	horse shows																
ark:/67531/metapth241212	Cutting Horse Competition: Image 1991_D-2_01	NCHA	derbies	horse shows																
ark:/67531/metapth241213	Cutting Horse Competition: Image 1991_D-2_02	NCHA	derbies	horse shows																
ark:/67531/metapth241214	Cutting Horse Competition: Image 1991_D-2_03	NCHA	derbies	horse shows																
ark:/67531/metapth241215	Cutting Horse Competition: Image 1991_D-2_04	NCHA	derbies	horse shows																
ark:/67531/metapth241216	Cutting Horse Competition: Image 1991_D-2_05	NCHA	derbies	horse shows																
ark:/67531/metapth241217	Cutting Horse Competition: Image 1991_D-2_07	NCHA	derbies	horse shows																
ark:/67531/metapth241218	Cutting Horse Competition: Image 1991_D-2_06	NCHA	derbies	horse shows																
ark:/67531/metapth241219	Cutting Horse Competition: Image 1991_D-2_08	NCHA	derbies	horse shows																
ark:/67531/metapth241220	Cutting Horse Competition: Image 1991_D-2_09	NCHA	derbies	horse shows																
