field,county,state,subfeild,year,count
str_location_county,ElPasoCounty,TX,untl_decade,1900-1909,3474
str_location_county,ElPasoCounty,TX,untl_decade,1910-1919,7588
str_location_county,ElPasoCounty,TX,untl_decade,1920-1929,322
str_location_county,ElPasoCounty,TX,untl_decade,1960-1969,2
str_location_county,ElPasoCounty,TX,untl_decade,1990-1999,1
str_location_county,EllisCounty,TX,untl_decade,1890-1899,155
str_location_county,EllisCounty,TX,untl_decade,1900-1909,2182
str_location_county,EllisCounty,TX,untl_decade,1910-1919,2170
str_location_county,EllisCounty,TX,untl_decade,1920-1929,50
str_location_county,EllisCounty,TX,untl_decade,1930-1939,97
str_location_county,EllisCounty,TX,untl_decade,1940-1949,213
str_location_county,EllisCounty,TX,untl_decade,1950-1959,2190
str_location_county,EllisCounty,TX,untl_decade,1970-1979,101
str_location_county,EllisCounty,TX,untl_decade,2010-2019,503
str_location_county,ErathCounty,TX,untl_decade,1880-1889,304
str_location_county,ErathCounty,TX,untl_decade,1890-1899,919
str_location_county,ErathCounty,TX,untl_decade,1900-1909,716
str_location_county,ErathCounty,TX,untl_decade,1910-1919,1260
str_location_county,ErathCounty,TX,untl_decade,1920-1929,1064
str_location_county,ErathCounty,TX,untl_decade,1930-1939,1176
str_location_county,ErathCounty,TX,untl_decade,1940-1949,1319
str_location_county,ErathCounty,TX,untl_decade,1950-1959,1521
str_location_county,ErathCounty,TX,untl_decade,1960-1969,1488
str_location_county,ErathCounty,TX,untl_decade,1970-1979,998
str_location_county,ErathCounty,TX,untl_decade,1980-1989,903
str_location_county,ErathCounty,TX,untl_decade,1990-1999,784
str_location_county,ErathCounty,TX,untl_decade,2000-2009,775
str_location_county,ErathCounty,TX,untl_decade,2010-2019,446
str_location_county,FanninCounty,TX,untl_decade,1840-1849,1
str_location_county,FanninCounty,TX,untl_decade,1860-1869,22
str_location_county,FanninCounty,TX,untl_decade,1870-1879,312
str_location_county,FanninCounty,TX,untl_decade,1880-1889,304
str_location_county,FanninCounty,TX,untl_decade,1890-1899,275
str_location_county,FanninCounty,TX,untl_decade,1900-1909,1843
str_location_county,FanninCounty,TX,untl_decade,1910-1919,4269
str_location_county,FanninCounty,TX,untl_decade,1920-1929,1876
str_location_county,FanninCounty,TX,untl_decade,1930-1939,832
str_location_county,FanninCounty,TX,untl_decade,1940-1949,873
